GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000223972	13	18	3	1	5	11	17	10
ENSG00000227232	1087	1002	182	531	200	114	319	172
ENSG00000278267	23	33	1	12	6	1	4	1
ENSG00000243485	0	3	0	1	2	2	0	2
ENSG00000284332	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	2	0
ENSG00000268020	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0
ENSG00000238009	29	8	4	11	57	38	28	13
ENSG00000239945	0	0	0	0	0	0	0	0
ENSG00000233750	24	4	5	20	17	13	19	5
ENSG00000268903	32	43	17	40	0	0	2	1
ENSG00000269981	19	16	16	27	0	0	0	2
ENSG00000239906	4	3	8	2	0	1	1	0
ENSG00000241860	37	11	59	34	102	185	124	60
ENSG00000222623	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	2	0	0
ENSG00000279928	6	9	0	0	1	5	3	5
ENSG00000279457	1416	1658	249	703	201	112	252	165
ENSG00000273874	16	10	2	9	6	1	7	2
ENSG00000228463	89	63	6	17	69	79	189	62
ENSG00000241670	0	0	0	0	0	0	0	0
ENSG00000236679	30	14	10	7	44	15	8	11
ENSG00000236743	3	5	1	2	2	11	7	5
ENSG00000236601	0	1	0	0	3	2	1	0
ENSG00000237094	205	93	82	149	156	135	230	105
ENSG00000269732	0	0	0	0	0	0	0	0
ENSG00000278566	0	1	0	0	4	0	2	0
ENSG00000224813	0	0	0	0	0	0	0	0
ENSG00000233653	9	4	3	10	6	1	9	3
ENSG00000250575	102	94	48	126	3	0	7	4
ENSG00000278757	0	0	0	0	0	0	1	0
ENSG00000230021	10	10	2	14	27	31	24	13
ENSG00000235146	0	0	0	0	0	0	0	0
ENSG00000225972	6234	29662	2514	5523	2524	2055	1488	1151
ENSG00000225630	33407	28132	6807	19740	48304	16551	16606	26757
ENSG00000237973	113286	133546	19305	25361	54273	39795	45825	30616
ENSG00000278791	0	0	0	0	0	0	0	0
ENSG00000229344	7416	4608	307	621	728	582	480	670
ENSG00000240409	49	64	6	8	38	33	9	16
ENSG00000248527	53241	85306	9892	21440	81379	21424	16390	32933
ENSG00000198744	6917	6532	184	351	1232	307	478	2146
ENSG00000268663	0	0	0	0	0	0	0	0
ENSG00000273547	0	1	0	0	4	0	2	0
ENSG00000283574	0	0	0	0	1	0	0	0
ENSG00000229376	6	3	3	5	6	0	4	2
ENSG00000228327	544	273	279	436	363	571	447	249
ENSG00000223181	0	0	0	0	3	1	1	0
ENSG00000229905	0	0	0	0	3	0	0	0
ENSG00000237491	40	58	16	21	84	148	79	31
ENSG00000230092	9	9	0	3	33	51	44	20
ENSG00000177757	2	1	4	5	9	13	15	3
ENSG00000228794	275	326	96	149	431	1110	304	204
ENSG00000225880	36	20	19	24	15	14	15	10
ENSG00000230368	19	29	1	1	7	8	7	6
ENSG00000234711	1	2	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0
ENSG00000223764	0	2	1	1	0	1	0	0
ENSG00000187634	1	1	0	1	0	0	1	0
ENSG00000188976	3512	3179	1369	2202	522	296	719	956
ENSG00000187961	424	263	71	209	9	1	18	17
ENSG00000187583	61	35	15	40	3	0	2	6
ENSG00000187642	16	10	1	13	1	0	0	0
ENSG00000272512	12	5	0	11	0	2	2	0
ENSG00000188290	130	268	7	28	3	2	1	1
ENSG00000187608	252	388	132	346	2	2	22	20
ENSG00000231702	0	0	0	0	0	1	0	0
ENSG00000224969	2	4	0	0	6	0	0	1
ENSG00000188157	5500	8053	869	2513	300	280	362	510
ENSG00000242590	0	0	0	0	0	0	0	0
ENSG00000217801	38	79	2	17	2	9	2	0
ENSG00000273443	1	1	0	2	0	0	0	0
ENSG00000237330	0	0	0	0	0	0	0	0
ENSG00000131591	343	369	75	213	13	18	32	23
ENSG00000223823	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	1	0
ENSG00000186891	0	0	0	0	0	0	0	0
ENSG00000186827	12	18	1	4	1	0	0	3
ENSG00000078808	8240	13665	1845	4478	519	338	1032	840
ENSG00000176022	844	1402	195	381	423	250	181	233
ENSG00000184163	7	9	0	9	0	0	0	0
ENSG00000260179	5	2	0	4	0	0	1	0
ENSG00000160087	2088	2509	454	942	544	435	623	614
ENSG00000230415	11	10	2	6	1	5	3	1
ENSG00000162572	76	95	16	37	2	7	10	4
ENSG00000131584	671	800	170	309	28	24	91	54
ENSG00000278073	0	0	0	0	0	0	0	0
ENSG00000169972	364	432	82	172	4	5	12	13
ENSG00000127054	3242	2896	965	2155	551	406	821	544
ENSG00000283712	0	0	0	0	0	0	0	0
ENSG00000240731	52	30	16	35	28	45	49	15
ENSG00000224051	1008	1070	156	492	113	90	76	117
ENSG00000169962	3	5	1	6	0	0	2	0
ENSG00000107404	1657	1449	282	686	45	16	82	65
ENSG00000284372	0	0	0	0	0	0	0	0
ENSG00000162576	526	27	6	56	33	2	50	52
ENSG00000175756	2437	3188	489	1304	61	21	110	99
ENSG00000223663	2	0	0	0	0	1	1	0
ENSG00000221978	3975	3884	1064	2194	3155	2487	2345	1122
ENSG00000224870	408	416	118	281	96	60	114	78
ENSG00000242485	2143	2981	682	1295	727	396	650	617
ENSG00000264293	0	0	0	0	0	0	0	0
ENSG00000272455	33	82	33	39	35	39	50	19
ENSG00000235098	6	26	0	15	3	0	2	0
ENSG00000225905	1	0	0	0	0	0	0	0
ENSG00000205116	0	1	1	0	0	0	0	0
ENSG00000225285	5	22	1	3	0	0	0	0
ENSG00000179403	418	4383	47	227	36	18	18	6
ENSG00000215915	77	72	18	46	4	7	3	1
ENSG00000160072	1586	1626	637	795	96	73	232	173
ENSG00000197785	2328	1819	636	1234	57	26	131	173
ENSG00000205090	99	66	15	41	2	0	6	2
ENSG00000160075	3441	4750	955	1998	2186	1129	1197	1291
ENSG00000215014	16	12	4	7	13	6	5	7
ENSG00000274481	0	0	0	0	0	0	0	0
ENSG00000228594	48	33	10	20	0	0	0	1
ENSG00000272106	58	74	14	34	30	49	21	11
ENSG00000197530	645	825	73	279	17	24	46	15
ENSG00000189409	5	20	0	1	0	1	0	1
ENSG00000248333	3575	2947	622	1600	2571	2096	1754	1801
ENSG00000272004	1	0	0	0	0	0	0	0
ENSG00000189339	2203	1876	653	1023	2631	3194	1856	835
ENSG00000269737	61	16	20	25	52	72	65	14
ENSG00000215914	5	19	0	2	0	1	0	1
ENSG00000008128	82	104	55	72	58	46	47	25
ENSG00000268575	88	15	16	34	55	67	42	21
ENSG00000227775	330	101	39	258	76	144	103	113
ENSG00000215790	259	94	75	150	131	154	174	81
ENSG00000008130	3049	2976	865	1768	490	396	762	527
ENSG00000078369	19776	17020	5828	10294	12305	11767	10221	10358
ENSG00000231050	6	10	0	8	0	0	0	0
ENSG00000169885	7	10	1	2	1	0	0	2
ENSG00000178821	16	13	2	7	1	0	1	2
ENSG00000142609	0	0	0	0	0	0	0	0
ENSG00000233542	2	1	0	1	0	1	0	0
ENSG00000187730	0	0	0	0	0	1	0	0
ENSG00000226969	0	0	0	0	0	0	0	0
ENSG00000067606	4	3	0	5	22	374	52	1
ENSG00000271806	0	2	0	0	0	5	0	0
ENSG00000182873	4	4	0	7	2	20	3	1
ENSG00000162585	1380	1291	137	392	43	51	68	64
ENSG00000234396	0	0	0	0	0	0	0	0
ENSG00000157933	3557	2643	658	1562	1993	2465	1126	1248
ENSG00000116151	135	101	24	52	40	44	38	29
ENSG00000272161	0	0	0	0	0	0	0	0
ENSG00000269896	16	11	4	8	5	8	14	1
ENSG00000272420	1	4	0	0	1	0	0	1
ENSG00000157916	3509	4687	1001	1905	2234	1596	1875	1793
ENSG00000157911	637	682	156	345	234	185	221	195
ENSG00000149527	3	9	2	2	1	0	0	2
ENSG00000224387	0	1	0	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0	0	0
ENSG00000157881	758	724	226	455	223	149	245	233
ENSG00000197921	0	0	0	0	0	0	0	0
ENSG00000272449	17	27	2	15	0	2	1	0
ENSG00000238164	50	66	27	48	2	8	6	10
ENSG00000157873	1305	2300	393	1098	92	246	304	79
ENSG00000225931	1	6	0	1	1	0	2	0
ENSG00000228037	3	3	0	1	0	3	1	0
ENSG00000157870	2326	1999	487	1336	339	582	410	309
ENSG00000142606	38	10	4	19	1	8	4	3
ENSG00000237058	0	0	0	0	0	0	0	0
ENSG00000215912	3	4	0	1	3	6	11	2
ENSG00000283259	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0	0	0
ENSG00000142611	0	0	0	1	0	0	0	0
ENSG00000283572	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0
ENSG00000279839	0	0	0	1	0	0	0	0
ENSG00000272235	1	0	1	0	0	0	0	0
ENSG00000130762	31	3	3	7	0	4	1	2
ENSG00000272088	0	1	1	0	3	29	0	0
ENSG00000162591	2151	2030	295	1112	69	354	78	79
ENSG00000207776	0	0	0	0	0	0	0	0
ENSG00000238260	6	10	5	18	1	2	1	1
ENSG00000158109	2780	4884	919	1907	2671	1869	1571	1349
ENSG00000116213	821	817	235	404	137	79	182	111
ENSG00000078900	2	13	3	2	0	1	1	1
ENSG00000227589	1	7	0	3	0	0	1	2
ENSG00000235131	0	0	0	0	0	0	0	0
ENSG00000227372	501	598	129	433	939	799	568	529
ENSG00000276189	0	0	0	0	0	0	0	0
ENSG00000162592	0	0	0	1	1	0	0	0
ENSG00000235169	7	3	1	1	0	0	0	0
ENSG00000130764	1655	1815	421	874	553	445	409	370
ENSG00000266075	0	0	0	1	1	1	0	1
ENSG00000272153	20	16	9	9	11	2	10	4
ENSG00000116198	1403	1030	360	712	1777	1652	1193	1212
ENSG00000169598	340	269	115	231	167	167	166	161
ENSG00000198912	728	705	254	459	502	336	400	344
ENSG00000236423	5	8	2	7	0	0	4	2
ENSG00000233304	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0
ENSG00000229280	1	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0
ENSG00000196581	0	0	0	3	2	0	6	0
