gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000223972	8.8956	-0.1934	0.6572	0.7266	0.8065
ENSG00000227232	420.8562	1.7057	0.3934	0	0
ENSG00000278267	8.6135	1.8786	0.7807	0.0022	0.0081
ENSG00000243485	1.1126	-0.1512	1.0395	0.807	0.8651
ENSG00000237613	0.2281	-0.16	1.2955	0.736	NA
ENSG00000238009	20.1415	-0.9387	0.5082	0.0412	0.0915
ENSG00000233750	12.8299	0.2358	0.6038	0.6524	0.7475
ENSG00000268903	18.7164	4.8204	0.9593	0	0
ENSG00000269981	12.5475	4.2541	1.2202	0	0
ENSG00000239906	3.5796	1.8854	1.1998	0.0098	0.0282
ENSG00000241860	78.0233	-0.6871	0.6205	0.1974	0.3079
ENSG00000241599	0.2057	-0.1467	1.2951	0.7569	NA
ENSG00000279928	3.0668	-0.0422	0.8834	0.9463	0.9638
ENSG00000279457	551.4843	2.3553	0.3803	0	0
ENSG00000273874	6.0961	0.997	0.6779	0.0771	0.1505
ENSG00000228463	63.0169	-1.0122	0.5344	0.0343	0.079
ENSG00000236679	15.9363	0.0076	0.5539	0.9877	0.9913
ENSG00000236743	4.1876	-0.6621	0.7399	0.2631	0.3812
ENSG00000236601	0.6734	-0.4865	1.1628	0.4148	NA
ENSG00000237094	143.8135	0.1063	0.393	0.7745	0.8421
ENSG00000278566	0.6676	-0.3725	1.2218	0.5024	NA
ENSG00000233653	5.7273	0.5315	0.7066	0.3571	0.4789
ENSG00000250575	53.8607	4.6506	0.6426	0	0
ENSG00000278757	0.114	-0.0476	1.2919	0.9197	NA
ENSG00000230021	14.7665	-0.9305	0.5001	0.0404	0.0901
ENSG00000225972	5794.2025	2.4027	0.5115	0	0
ENSG00000225630	22425.7856	-0.0955	0.3593	0.7804	0.8464
ENSG00000237973	51098.9069	0.7479	0.3757	0.0358	0.0818
ENSG00000229344	1565.3045	1.8321	0.5856	3e-04	0.0016
ENSG00000240409	23.5678	0.3696	0.5595	0.4559	0.5756
