gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000227232	420.8562	1.7057	0.3934	0.0	0.0
ENSG00000278267	8.6135	1.8786	0.7807	0.0022	0.0081
ENSG00000268903	18.7164	4.8204	0.9593	0.0	0.0
ENSG00000269981	12.5475	4.2541	1.2202	0.0	0.0
ENSG00000239906	3.5796	1.8854	1.1998	0.0098	0.0282
ENSG00000279457	551.4843	2.3553	0.3803	0.0	0.0
ENSG00000250575	53.8607	4.6506	0.6426	0.0	0.0
ENSG00000225972	5794.2025	2.4027	0.5115	0.0	0.0
ENSG00000229344	1565.3045	1.8321	0.5856	0.0003	0.0016
ENSG00000230092	18.1296	-2.2819	0.5929	0.0	0.0001
ENSG00000225880	20.4723	1.0899	0.4541	0.0093	0.0272
ENSG00000188976	1669.4582	1.9719	0.4525	0.0	0.0
ENSG00000187961	122.3444	4.0988	0.632	0.0	0.0
ENSG00000187583	20.8988	3.4401	0.7275	0.0	0.0
ENSG00000187642	4.7999	3.2801	1.3431	0.0001	0.0007
ENSG00000188290	44.5521	5.0565	0.8886	0.0	0.0
ENSG00000187608	159.2764	4.201	0.7672	0.0	0.0
ENSG00000188157	2087.4395	3.2638	0.4741	0.0	0.0
ENSG00000217801	15.5641	2.4435	0.9179	0.0003	0.0016
ENSG00000131591	131.7594	3.4558	0.4268	0.0	0.0
ENSG00000186827	4.2452	1.7192	1.0187	0.0127	0.0351
ENSG00000078808	3620.7218	3.0956	0.5069	0.0	0.0
ENSG00000176022	444.5468	1.3714	0.3631	0.0001	0.0004
ENSG00000184163	2.8939	2.4676	1.46	0.0022	0.008
ENSG00000160087	962.1648	1.3941	0.3337	0.0	0.0001
ENSG00000162572	29.0985	3.0278	0.5742	0.0	0.0
ENSG00000131584	259.0775	3.0651	0.5243	0.0	0.0
ENSG00000169972	129.5517	4.754	0.5011	0.0	0.0
ENSG00000127054	1455.0464	2.0643	0.3244	0.0	0.0
ENSG00000224051	360.8644	2.6709	0.369	0.0	0.0
ENSG00000107404	502.8445	4.0508	0.5269	0.0	0.0
ENSG00000175756	908.387	4.3976	0.5473	0.0	0.0
ENSG00000224870	194.3798	1.9045	0.3059	0.0	0.0
ENSG00000242485	1151.445	1.6273	0.3125	0.0	0.0
ENSG00000235098	5.8658	1.8772	1.1008	0.0086	0.0253
ENSG00000225285	3.3325	2.9214	1.4661	0.0006	0.0026
ENSG00000215915	27.9168	3.7602	0.5525	0.0	0.0
ENSG00000160072	680.4239	2.9296	0.4819	0.0	0.0
ENSG00000197785	813.4088	3.6468	0.6165	0.0	0.0
ENSG00000205090	27.2022	4.1238	0.6915	0.0	0.0
