gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000223972	9.2241	13.8735	7.2193	1.2497	3.4312	9.0512	15.5102	11.6053
ENSG00000227232	771.2798	772.2905	437.9683	663.6056	137.2466	93.8031	291.0451	199.6107
ENSG00000278267	16.3196	25.4347	2.4064	14.9967	4.1174	0.8228	3.6495	1.1605
ENSG00000243485	0	2.3122	0	1.2497	1.3725	1.6457	0	2.3211
ENSG00000237613	0	0	0	0	0	0	1.8247	0
ENSG00000238009	20.5769	6.166	9.6257	13.747	39.1153	31.2677	25.5463	15.0869
ENSG00000233750	17.0292	3.083	12.0321	24.9946	11.666	10.6968	17.335	5.8026
ENSG00000268903	22.7056	33.1422	40.9091	49.9891	0	0	1.8247	1.1605
ENSG00000269981	13.4814	12.332	38.5027	33.7427	0	0	0	2.3211
ENSG00000239906	2.8382	2.3122	19.2514	2.4995	0	0.8228	0.9124	0
ENSG00000241860	26.2533	8.4782	141.9787	42.4908	69.9958	152.2244	113.1335	69.6316
ENSG00000241599	0	0	0	0	0	1.6457	0	0
ENSG00000279928	4.2573	6.9367	0	0	0.6862	4.1142	2.7371	5.8026
ENSG00000279457	1004.7214	1277.9019	599.1984	878.5589	137.9329	92.1575	229.9165	191.487
ENSG00000273874	11.3528	7.7075	4.8128	11.2476	4.1174	0.8228	6.3866	2.3211
ENSG00000228463	63.1499	48.5572	14.4385	21.2454	47.3501	65.0039	172.4374	71.9527
ENSG00000236679	21.2865	10.7905	24.0642	8.7481	30.1943	12.3425	7.2989	12.7658
ENSG00000236743	2.1286	3.8537	2.4064	2.4995	1.3725	9.0512	6.3866	5.8026
ENSG00000236601	0	0.7707	0	0	2.0587	1.6457	0.9124	0
ENSG00000237094	145.4575	71.6797	197.3264	186.2095	107.0524	111.0826	209.8444	121.8554
ENSG00000278566	0	0.7707	0	0	2.7449	0	1.8247	0
ENSG00000233653	6.3859	3.083	7.2193	12.4973	4.1174	0.8228	8.2113	3.4816
ENSG00000250575	72.374	72.4504	115.5081	157.4657	2.0587	0	6.3866	4.6421
ENSG00000278757	0	0	0	0	0	0	0.9124	0
ENSG00000230021	7.0955	7.7075	4.8128	17.4962	18.5283	25.5079	21.8968	15.0869
ENSG00000225972	4423.3285	22861.9581	6049.7382	6902.2485	1732.0525	1690.9247	1357.6021	1335.7671
ENSG00000225630	23703.9036	21682.7121	16380.4963	24669.6333	33147.807	13618.7324	15150.7661	31052.2339
ENSG00000237973	80381.9686	102930.4518	46455.925	31694.3552	37243.9328	32744.6956	41809.217	35530.7094
ENSG00000229344	5262.0154	3551.6116	738.7707	776.0812	499.5777	478.8896	437.9362	777.5534
ENSG00000240409	34.7679	49.3279	14.4385	9.9978	26.0769	27.1535	8.2113	18.5684
ENSG00000248527	37777.0986	65749.5179	23804.2999	26794.1712	55844.9691	17628.4045	14953.6949	38219.6516
ENSG00000198744	4907.9505	5034.5328	442.7812	438.6546	845.4393	252.6102	436.1114	2490.492
ENSG00000273547	0	0.7707	0	0	2.7449	0	1.8247	0
ENSG00000283574	0	0	0	0	0.6862	0	0	0
ENSG00000229376	4.2573	2.3122	7.2193	6.2486	4.1174	0	3.6495	2.3211
ENSG00000228327	385.9947	210.4145	671.391	544.8815	249.1026	469.8385	407.828	288.9713
ENSG00000223181	0	0	0	0	2.0587	0.8228	0.9124	0
ENSG00000229905	0	0	0	0	2.0587	0	0	0
ENSG00000237491	28.382	44.7034	38.5027	26.2443	57.6436	121.7795	72.077	35.9764
ENSG00000230092	6.3859	6.9367	0	3.7492	22.6457	41.9646	40.1441	23.2105
ENSG00000177757	1.4191	0.7707	9.6257	6.2486	6.1761	10.6968	13.6855	3.4816
ENSG00000228794	195.126	251.2642	231.0163	186.2095	295.7665	913.3462	277.3596	236.7476
ENSG00000225880	25.5438	15.415	45.722	29.9935	10.2935	11.5197	13.6855	11.6053
ENSG00000230368	13.4814	22.3517	2.4064	1.2497	4.8036	6.5827	6.3866	6.9632
ENSG00000234711	0.7095	1.5415	0	0	0	0	0	0
ENSG00000223764	0	1.5415	2.4064	1.2497	0	0.8228	0	0
ENSG00000187634	0.7095	0.7707	0	1.2497	0	0	0.9124	0
ENSG00000188976	2491.9361	2450.2112	3294.388	2751.9013	358.2137	243.559	655.9919	1109.4643
ENSG00000187961	300.8488	202.707	170.8558	261.1932	6.1761	0.8228	16.4226	19.729
ENSG00000187583	43.2825	26.9762	36.0963	49.9891	2.0587	0	1.8247	6.9632
ENSG00000187642	11.3528	7.7075	2.4064	16.2465	0.6862	0	0	0
ENSG00000272512	8.5146	3.8537	0	13.747	0	1.6457	1.8247	0
ENSG00000188290	92.2414	206.5607	16.8449	34.9924	2.0587	1.6457	0.9124	1.1605
ENSG00000187608	178.8063	299.0506	317.6474	432.4059	1.3725	1.6457	20.0721	23.2105
ENSG00000231702	0	0	0	0	0	0.8228	0	0
ENSG00000224969	1.4191	3.083	0	0	4.1174	0	0	1.1605
ENSG00000188157	3902.5195	6206.8421	2091.1784	3140.5668	205.87	230.3936	330.2768	591.869
ENSG00000217801	26.9629	60.8892	4.8128	21.2454	1.3725	7.4055	1.8247	0
ENSG00000273443	0.7095	0.7707	0	2.4995	0	0	0	0
ENSG00000131591	243.3753	284.4064	180.4814	266.1921	8.921	14.811	29.1957	26.6921
ENSG00000162571	0	0	0	0	0	0	0.9124	0
ENSG00000186827	8.5146	13.8735	2.4064	4.9989	0.6862	0	0	3.4816
ENSG00000078808	5846.6838	10532.2857	4439.8436	5596.2826	356.155	278.118	941.5627	974.8431
ENSG00000176022	598.8594	1080.5902	469.2518	476.1464	290.2766	205.7086	165.1384	270.4029
ENSG00000184163	4.9668	6.9367	0	11.2476	0	0	0	0
ENSG00000260179	3.5477	1.5415	0	4.9989	0	0	0.9124	0
ENSG00000160087	1481.5383	1933.8094	1092.5144	1177.2439	373.3108	357.933	568.4046	712.5639
ENSG00000230415	7.805	7.7075	4.8128	7.4984	0.6862	4.1142	2.7371	1.1605
ENSG00000162572	53.9257	73.2212	38.5027	46.2399	1.3725	5.7598	9.1237	4.6421
ENSG00000131584	476.1074	616.5992	409.0913	386.166	19.2145	19.748	83.0254	62.6685
ENSG00000169972	258.2758	332.9636	197.3264	214.9532	2.7449	4.1142	10.9484	15.0869
ENSG00000127054	2300.3579	2232.0892	2322.1946	2693.1641	378.1145	334.0708	749.0533	631.327
ENSG00000240731	36.8965	23.1225	38.5027	43.7405	19.2145	37.0275	44.706	17.4079
ENSG00000224051	715.2254	824.7015	375.4014	614.8662	77.5443	74.0551	69.3399	135.7817
ENSG00000169962	2.1286	3.8537	2.4064	7.4984	0	0	1.8247	0
ENSG00000107404	1175.7227	1116.8154	678.6102	857.3135	30.8805	13.1654	74.8141	75.4343
ENSG00000162576	373.2228	20.8102	14.4385	69.9848	22.6457	1.6457	45.6183	60.3474
ENSG00000175756	1729.1709	2457.148	1176.739	1629.6455	41.8602	17.2795	100.3604	114.8922
ENSG00000223663	1.4191	0	0	0	0	0.8228	0.9124	0
ENSG00000221978	2820.4573	2993.5893	2560.4302	2741.9035	2165.0656	2046.3892	2139.5006	1302.1118
ENSG00000224870	289.496	320.6316	283.9575	351.1736	65.8784	49.3701	104.0098	90.5211
ENSG00000242485	1520.5635	2297.6029	1641.178	1618.3979	498.8915	325.8424	593.0385	716.0455
ENSG00000272455	23.4151	63.2014	79.4118	48.7394	24.0182	32.0905	45.6183	22.05
ENSG00000235098	4.2573	20.0395	0	18.7459	2.0587	0	1.8247	0
ENSG00000225905	0.7095	0	0	0	0	0	0	0
ENSG00000205116	0	0.7707	2.4064	0	0	0	0	0
ENSG00000225285	3.5477	16.9565	2.4064	3.7492	0	0	0	0
ENSG00000179403	296.5915	3378.1931	113.1017	283.6883	24.7044	14.811	16.4226	6.9632
ENSG00000215915	54.6353	55.4939	43.3155	57.4875	2.7449	5.7598	2.7371	1.1605
ENSG00000160072	1125.3447	1253.2379	1532.8891	993.5339	65.8784	60.0669	211.6691	200.7713
ENSG00000197785	1651.8301	1401.9925	1530.4827	1542.1645	39.1153	21.3937	119.5201	200.7713
ENSG00000205090	70.2454	50.8694	36.0963	51.2389	1.3725	0	5.4742	2.3211
ENSG00000160075	2441.5581	3661.058	2298.1305	2496.9568	1500.1057	928.9801	1092.1033	1498.241
ENSG00000215014	11.3528	9.249	9.6257	8.7481	8.921	4.937	4.5618	8.1237
ENSG00000228594	34.0584	25.4347	24.0642	24.9946	0	0	0	1.1605
ENSG00000272106	41.1538	57.0354	33.6899	42.4908	20.587	40.3189	19.1597	12.7658
ENSG00000197530	457.6591	635.868	175.6686	348.6741	11.666	19.748	41.9689	17.4079
ENSG00000189409	3.5477	15.415	0	1.2497	0	0.8228	0	1.1605
ENSG00000248333	2536.6377	2271.3974	1496.7928	1999.565	1764.3055	1724.6609	1600.2917	2090.11
ENSG00000272004	0.7095	0	0	0	0	0	0	0
ENSG00000189339	1563.1365	1445.9252	1571.3918	1278.4719	1805.4795	2628.1331	1693.3531	969.0404
ENSG00000269737	43.2825	12.332	48.1284	31.2432	35.6841	59.2441	59.3039	16.2474
ENSG00000215914	3.5477	14.6442	0	2.4995	0	0.8228	0	1.1605
ENSG00000008128	58.183	80.1579	132.3531	89.9804	39.8015	37.8504	42.8812	29.0132
ENSG00000268575	62.4403	11.5612	38.5027	42.4908	37.7428	55.1299	38.3194	24.3711
ENSG00000227775	234.1512	77.8457	93.8504	322.4299	52.1537	118.4882	93.9738	131.1396
ENSG00000215790	183.7732	72.4504	180.4814	187.4592	89.8965	126.7165	158.7519	94.0027
ENSG00000008130	2163.4149	2293.7492	2081.5527	2209.5193	336.2543	325.8424	695.2236	611.598
ENSG00000078369	14032.0411	13118.1487	14024.6118	12864.7014	8444.0992	9682.2926	9325.3029	12020.7437
ENSG00000231050	4.2573	7.7075	0	9.9978	0	0	0	0
ENSG00000169885	4.9668	7.7075	2.4064	2.4995	0.6862	0	0	2.3211
ENSG00000178821	11.3528	10.0197	4.8128	8.7481	0.6862	0	0.9124	2.3211
ENSG00000233542	1.4191	0.7707	0	1.2497	0	0.8228	0	0
ENSG00000187730	0	0	0	0	0	0.8228	0	0
ENSG00000067606	2.8382	2.3122	0	6.2486	15.0971	307.7401	47.4431	1.1605
ENSG00000271806	0	1.5415	0	0	0	4.1142	0	0
ENSG00000182873	2.8382	3.083	0	8.7481	1.3725	16.4567	2.7371	1.1605
ENSG00000162585	979.1776	995.037	329.6794	489.8934	29.508	41.9646	62.041	74.2738
ENSG00000157933	2523.8658	2037.0897	1583.4239	1952.0753	1367.6627	2028.2868	1027.3252	1448.3383
ENSG00000116151	95.7891	77.8457	57.7541	64.9859	27.4493	36.2047	34.6699	33.6553
ENSG00000269896	11.3528	8.4782	9.6257	9.9978	3.4312	6.5827	12.7731	1.1605
ENSG00000272420	0.7095	3.083	0	0	0.6862	0	0	1.1605
ENSG00000157916	2489.8075	3612.5008	2408.8257	2380.7321	1533.0449	1313.2437	1710.6881	2080.8258
