gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000223972	4.4928	4.7924	4.3343	3.5816	3.9416	4.48	4.8822	4.6558
ENSG00000227232	9.621	9.6228	8.8267	9.4088	7.2576	6.7736	8.2623	7.7516
ENSG00000278267	4.9243	5.322	3.7954	4.8548	4.0264	3.4764	3.9695	3.5614
ENSG00000243485	3.0187	3.7804	3.0187	3.5816	3.6083	3.6634	3.0187	3.7818
ENSG00000237613	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187	3.697	3.0187
ENSG00000238009	5.1253	4.2402	4.522	4.7852	5.7578	5.5251	5.3262	4.8596
ENSG00000233750	4.9601	3.895	4.6828	5.3053	4.6597	4.5963	4.9752	4.2057
ENSG00000268903	5.2151	5.5844	5.8059	6.0266	3.0187	3.0187	3.697	3.5614
ENSG00000269981	4.7699	4.7013	5.741	5.6029	3.0187	3.0187	3.0187	3.7818
ENSG00000239906	3.8604	3.7804	5.0661	3.8099	3.0187	3.4764	3.5005	3.0187
ENSG00000241860	5.3524	4.4365	7.3017	5.8469	6.4168	7.3927	7.0093	6.4105
ENSG00000241599	3.0187	3.0187	3.0187	3.0187	3.0187	3.6634	3.0187	3.0187
ENSG00000279928	4.0427	4.3099	3.0187	3.0187	3.437	4.026	3.8457	4.2057
ENSG00000279457	9.9956	10.3377	9.2651	9.8053	7.2641	6.7516	7.9417	7.6961
ENSG00000273874	4.6396	4.3751	4.1046	4.6328	4.0264	3.4764	4.2607	3.7818
ENSG00000228463	6.295	5.994	4.8242	5.1542	5.966	6.329	7.5569	6.4497
ENSG00000236679	5.1559	4.6026	5.2694	4.4572	5.49	4.702	4.341	4.7277
ENSG00000236743	3.7502	3.9948	3.7954	3.8099	3.6083	4.48	4.2607	4.2057
ENSG00000236601	3.0187	3.4618	3.0187	3.0187	3.7383	3.6634	3.5005	3.0187
ENSG00000237094	7.3332	6.4452	7.7362	7.6589	6.9393	6.9861	7.8187	7.1042
ENSG00000278566	3.0187	3.4618	3.0187	3.0187	3.8469	3.0187	3.697	3.0187
ENSG00000233653	4.2606	3.895	4.3343	4.7114	4.0264	3.4764	4.4156	3.9481
ENSG00000250575	6.4567	6.458	7.0358	7.4371	3.7383	3.0187	4.2607	4.086
ENSG00000278757	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187	3.5005	3.0187
ENSG00000230021	4.3236	4.3751	4.1046	4.9831	5.0325	5.3247	5.1817	4.8596
